30.57914	-51.39167	192.35344
29.99302	-47.5826	193.33665
29.37614	-43.77756	194.23575
28.73581	-39.99497	195.04926
28.07643	-36.25309	195.77711
27.39989	-32.57	196.42044
26.70589	-28.96348	196.98148
25.99233	-25.45094	197.46342
25.25562	-22.04931	197.87036
24.49104	-18.775	198.20711
23.69314	-15.64381	198.47911
22.85603	-12.6708	198.69234
21.97375	-9.87025	198.85307
21.04064	-7.25558	198.96793
20.05168	-4.83925	199.04362
19.00286	-2.63265	199.08691
17.89147	-0.64608	199.10445
16.71654	1.11138	199.10265
15.47912	2.63194	199.08759
14.1827	3.9092	199.06491
12.83347	4.93819	199.03966
11.44076	5.7155	199.01617
10.01736	6.23934	198.99797
8.57984	6.50963	198.98764
7.14895	6.52808	198.98668
5.74996	6.29826	198.99544
4.413	5.82573	199.01294
3.1734	5.11806	199.03677
2.07208	4.18496	199.06302
1.15586	3.03835	199.08607
0.59318	1.98043	199.09729
0.48628	1.71529	199.09851
0.3912	1.45026	199.09921
0.30709	1.18535	199.09947
0.23334	0.92067	199.0994
0.16962	0.65639	199.09901
0.11576	0.39277	199.09843
0.07182	0.13012	199.09767
0.03798	-0.13121	199.09679
0.01459	-0.39083	199.09576
0.00208	-0.64831	199.09465
0.00095	-0.90322	199.09346
0.0118	-1.15512	199.09218
0.0352	-1.40357	199.09079
0.07176	-1.64816	199.08934
0.12205	-1.88848	199.08775
0.1866	-2.12418	199.08606
0.26584	-2.35494	199.08423
0.36011	-2.58051	199.08221
0.46963	-2.80069	199.08003
0.59445	-3.01538	199.07765
0.73444	-3.22454	199.07504
0.88926	-3.42826	199.0722
1.05833	-3.6267	199.06912
1.24083	-3.82017	199.06578
1.43562	-4.0091	199.06218
1.64128	-4.19405	199.05832
1.85601	-4.37575	199.05421
2.07769	-4.55507	199.04988
2.30378	-4.73306	199.04532
2.96955	-5.25524	199.03104
4.06852	-6.13364	199.00432
5.16209	-7.03442	198.97348
6.25119	-7.96493	198.93788
7.33625	-8.9318	198.89677
8.41716	-9.94092	198.84926
9.4934	-10.99754	198.7943
10.56407	-12.10619	198.7307
11.62792	-13.27074	198.65721
